Termo financeiro,Explicação desse termo,Exemplo de Uso,Termos Relacionados
Amortização,"Processo de extinção gradual de uma dívida através de pagamentos periódicos. Corresponde ao pagamento do capital em dívida (valor principal), o que efetivamente a reduz. Pode ser total ou parcial. Em cada prestação, parte destina-se a amortizar o montante principal e outra parte ao pagamento de juros e encargos.","Ao pagar a prestação mensal do crédito habitação, uma parte do valor é destinada à amortização do saldo devedor, enquanto a outra cobre os juros.","Juros, Dívida pública, Capital em dívida, Saldo Devedor, Tabela SAC, Tabela Price, Empréstimo, Financiamento, Parcelado"
Juros,"Custo do dinheiro no tempo, representando a remuneração paga pelo devedor ao credor pelo capital emprestado durante um determinado período. Pode também referir-se ao valor pago pelo banco ao cliente por manter depósitos aplicados.","Ao contratar um financiamento, o cliente deve observar a taxa de juros aplicada para calcular o custo total do crédito e verificar se a remuneração compensa o prazo.","Juros corridos, Juros vencidos, Juros vincendos, Spread, Taxa Nominal, Taxa Real, Juros Compostos, Juros Simples, Investimento"
Selic,"Taxa básica de juros da economia brasileira, definida pelo Copom (Comité de Política Monetária). É o principal instrumento de política monetária para controlar a inflação e serve de referência para todas as outras taxas de juros no país.","A subida da taxa Selic torna o financiamento imobiliário mais caro para o consumidor final, pois influencia o custo de captação dos bancos.","Copom, Política Monetária, Taxa Básica, CMN, IPCA, Taxa de juro implícita, Inflação"
CDI (Certificado de Depósito Interbancário),Títulos de curtíssimo prazo emitidos pelos bancos para transferir recursos entre si e fechar o caixa do dia. A taxa média destas operações (Taxa CDI) é a principal referência para o custo do crédito e rendimentos de renda fixa.,Muitos contratos de crédito para empresas utilizam o CDI como indexador principal para o cálculo dos juros mensais.,"CDB, Taxa Selic, Mercado Bancário, Benchmark, Mercado Interfinanceiro, LCI, LCA"
Alienação Fiduciária,"Modalidade de garantia real onde o devedor transfere a propriedade de um bem (móvel ou imóvel) ao credor até que a dívida seja integralmente paga. O devedor detém a posse direta e o uso do bem, mas a propriedade é resolúvel.","No financiamento de um veículo, o carro fica em alienação fiduciária ao banco até à quitação da última parcela, impedindo a sua venda sem autorização.","Garantia Real, Gravame, Propriedade Resolúvel, Hipoteca, Letra hipotecária, Financiamento"
Hipoteca,"Direito real de garantia sobre um bem imóvel que permanece na posse e propriedade do devedor, mas serve como segurança para o pagamento da dívida. Em caso de incumprimento, o credor pode retomar o bem via leilão.",O proprietário ofereceu a sua residência como hipoteca para obter um financiamento empresarial de longo prazo com taxas mais atrativas.,"Escritura Pública, Registro de Imóveis, Garantia Imobiliária, Credor, Devedor, Alienação Fiduciária"
Crédito Consignado,"Tipo de empréstimo onde as prestações são descontadas diretamente da folha de pagamento, pensão ou reforma do tomador antes de este receber o valor líquido. Apresenta geralmente taxas inferiores ao crédito pessoal.","Um funcionário público contratou crédito consignado para aproveitar taxas mais baixas, ciente de que o valor da prestação será retido na sua fonte de rendimento.","Margem Consignável, Desconto em Folha, Portabilidade de crédito, Saldo devedor"
Empréstimo Pessoal,Crédito concedido a indivíduos sem necessidade de comprovar a finalidade do uso do dinheiro. Geralmente possui taxas mais altas que o consignado por não possuir garantia direta em folha.,Solicitei um empréstimo pessoal para cobrir uma despesa médica urgente sem precisar de justificar ao banco o destino dos fundos.,"Cheque especial, Crédito, Crédito consignado, Financiamento, Juros, Encargo"
Spread,Diferencial de taxa de juro que representa a margem de lucro da instituição financeira ou o prémio de risco. É a diferença entre o custo de captação do banco e o juro cobrado ao cliente final.,O banco ofereceu um spread mais baixo no crédito à habitação em troca da subscrição de seguros e outros produtos financeiros.,"Prémio de risco, Juros, Rating ou notação de risco, Custo Bancário, Rentabilidade"
Liquidez,Capacidade de um ativo ou investimento ser convertido rapidamente em numerário sem perda significativa de valor. Essencial para avaliar a capacidade de cumprimento de obrigações de curto prazo.,"Um imóvel tem baixa liquidez, pois demora meses a vender, enquanto o dinheiro numa conta à ordem tem liquidez imediata para pagar uma dívida.","Solvência, Fluxo de caixa, Liquidez Diária, Ativos, Análise de Sustentabilidade da Dívida (DSA)"
